Rowid_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST
,0,407,43,"141,139.198855947440000"
,0,408,43,"141,139.198855947440000"
,0,409,43,"141,139.198855947440000"
,0,410,43,"141,139.198855947440000"
,0,411,43,"141,139.198855947440000"
,0,412,43,"147,915.342722481670000"
,0,413,43,"147,915.342722481670000"
,0,414,43,"147,915.342722481670000"
,0,415,43,"147,915.342722481670000"
,0,416,43,"147,915.342722481670000"
,0,417,43,"147,915.342722481670000"
,0,418,43,"147,915.342722481670000"
,0,419,43,"147,915.342722481670000"
,0,420,43,"147,915.342722481670000"
,0,421,43,"147,915.342722481670000"
,0,422,43,"147,915.342722481670000"
,0,423,43,"147,915.342722481670000"
,0,424,43,"147,915.342722481670000"
,0,425,43,"147,915.342722481670000"
,0,426,43,"147,915.342722481670000"
,0,427,43,"147,915.342722481670000"
,0,428,43,"147,915.342722481670000"
,0,429,43,"147,915.342722481670000"
,0,430,43,"147,915.342722481670000"
,0,431,43,"147,915.342722481670000"
,0,432,43,"147,915.342722481670000"
,0,433,43,"147,915.342722481670000"
,0,434,43,"147,915.342722481670000"
,0,435,43,"147,915.342722481670000"
,0,436,38,"121,285.950575497760000"
,0,437,38,"121,285.950575497760000"
,0,438,38,"121,285.950575497760000"
,0,439,38,"121,285.950575497760000"
,0,440,38,"121,285.950575497760000"
,0,441,38,"121,285.950575497760000"
,0,442,38,"121,285.950575497760000"
,0,443,38,"121,285.950575497760000"
,0,444,38,"121,285.950575497760000"
,0,445,38,"121,285.950575497760000"
,0,446,38,"121,285.950575497760000"
,0,447,38,"121,285.950575497760000"
,0,448,38,"121,285.950575497760000"
,0,449,38,"121,285.950575497760000"
,0,450,38,"121,285.950575497760000"
,0,451,38,"121,285.950575497760000"
,0,452,38,"121,285.950575497760000"
,0,453,38,"121,285.950575497760000"
,0,454,38,"121,285.950575497760000"
,0,455,38,"121,285.950575497760000"
,0,456,38,"121,285.950575497760000"
,0,457,38,"121,285.950575497760000"
,0,458,38,"121,285.950575497760000"
,0,459,38,"121,285.950575497760000"
,0,460,43,"119,012.148477872830000"
,0,461,43,"119,012.148477872830000"
,0,462,43,"119,012.148477872830000"
,0,463,43,"119,012.148477872830000"
,0,464,43,"119,012.148477872830000"
,0,465,43,"119,012.148477872830000"
,0,466,43,"119,012.148477872830000"
,0,467,43,"119,012.148477872830000"
,0,468,43,"119,012.148477872830000"
,0,469,43,"119,012.148477872830000"
,0,470,43,"119,012.148477872830000"
,0,471,43,"119,012.148477872830000"
,0,472,43,"119,012.148477872830000"
,0,473,43,"119,012.148477872830000"
,0,474,43,"119,012.148477872830000"
,0,475,43,"119,012.148477872830000"
,0,476,43,"119,012.148477872830000"
,0,477,43,"119,012.148477872830000"
,0,478,43,"119,012.148477872830000"
,0,479,43,"119,012.148477872830000"
,0,480,43,"119,012.148477872830000"
,0,481,43,"119,012.148477872830000"
,0,482,43,"119,012.148477872830000"
,0,483,43,"119,012.148477872830000"
,0,484,43,"98,098.029209976157000"
,0,485,43,"98,098.029209976157000"
,0,486,43,"98,098.029209976157000"
,0,487,43,"98,098.029209976157000"
,0,488,43,"98,098.029209976157000"
,0,489,43,"98,098.029209976157000"
,0,490,43,"98,098.029209976157000"
,0,491,43,"98,098.029209976157000"
,0,492,43,"98,098.029209976157000"
,0,493,43,"98,098.029209976157000"
,0,494,43,"98,098.029209976157000"
,0,495,43,"98,098.029209976157000"
,0,496,43,"98,098.029209976157000"
,0,497,43,"98,098.029209976157000"
,0,498,43,"98,098.029209976157000"
,0,499,43,"98,098.029209976157000"
,0,500,43,"98,098.029209976157000"
,0,501,43,"98,098.029209976157000"
,0,502,43,"98,098.029209976157000"
,0,503,43,"98,098.029209976157000"
,0,504,43,"98,098.029209976157000"
,0,505,43,"98,098.029209976157000"
,0,506,43,"98,098.029209976157000"
,0,507,43,"102,767.070069526380000"
,0,508,43,"102,767.070069526380000"
,0,509,43,"102,767.070069526380000"
,0,510,43,"102,767.070069526380000"
,0,511,43,"102,767.070069526380000"
,0,512,43,"102,767.070069526380000"
,0,513,43,"102,767.070069526380000"
,0,514,43,"102,767.070069526380000"
,0,515,43,"102,767.070069526380000"
,0,516,43,"102,767.070069526380000"
,0,517,43,"102,767.070069526380000"
,0,518,43,"102,767.070069526380000"
,0,519,43,"102,767.070069526380000"
,0,520,43,"102,767.070069526380000"
,0,521,43,0.000000000000000
,0,522,43,"102,767.070069526380000"
,0,523,43,"102,767.070069526380000"
,0,524,43,"102,767.070069526380000"
,0,525,43,"102,767.070069526380000"
,0,526,43,"102,767.070069526380000"
,0,527,43,"102,767.070069526380000"
,0,528,43,"102,767.070069526380000"
,0,529,43,"102,767.070069526380000"
,0,530,43,"109,283.964275117920000"
,0,531,43,"109,283.964275117920000"
,0,532,43,"109,283.964275117920000"
,0,533,43,"109,283.964275117920000"
,0,534,43,"109,283.964275117920000"
,0,535,43,"109,283.964275117920000"
,0,536,43,"109,283.964275117920000"
,0,537,43,"109,283.964275117920000"
,0,538,43,"109,283.964275117920000"
,0,539,43,"109,283.964275117920000"
,0,540,43,"109,283.964275117920000"
,0,541,43,"109,283.964275117920000"
,0,542,43,"109,283.964275117920000"
,0,543,43,"109,283.964275117920000"
,0,544,43,"109,283.964275117920000"
,0,545,43,"109,283.964275117920000"
,0,546,43,"109,283.964275117920000"
,0,547,43,"65,209.527269702186000"
,0,548,43,"109,283.964275117920000"
,0,549,43,"109,283.964275117920000"
,0,550,43,"109,283.964275117920000"
,0,551,43,"109,283.964275117920000"
,0,552,43,"109,283.964275117920000"
,0,553,43,"109,283.964275117920000"
,0,554,43,"98,864.036466838428000"
,0,555,43,"98,864.036466838428000"
,0,556,43,"98,864.036466838428000"
,0,557,43,"98,864.036466838428000"
,0,558,43,"98,864.036466838428000"
,0,559,43,"98,864.036466838428000"
,0,560,43,"98,864.036466838428000"
,0,561,43,"98,864.036466838428000"
,0,562,43,"98,864.036466838428000"
,0,563,43,"98,864.036466838428000"
,0,564,43,"98,864.036466838428000"
,0,565,43,"98,864.036466838428000"
,0,566,43,"98,864.036466838428000"
,0,567,43,"98,864.036466838428000"
,0,568,43,"98,864.036466838428000"
,0,569,40,"47,905.611517767815000"
,0,570,40,"47,905.611517767815000"
,0,571,40,"47,905.611517767815000"
,0,572,40,"47,905.611517767815000"
,0,573,40,"47,905.611517767815000"
,0,574,40,"47,905.611517767815000"
,0,575,40,"47,905.611517767815000"
,0,576,40,"47,905.611517767815000"
,0,577,40,"47,905.611517767815000"
,0,578,40,"47,905.611517767815000"
,0,579,40,"47,905.611517767815000"
,0,580,40,"47,905.611517767815000"
,0,581,40,"47,905.611517767815000"
,0,582,40,"47,905.611517767815000"
,0,583,40,"47,905.611517767815000"
,0,584,40,"47,905.611517767815000"
,0,585,40,"47,905.611517767815000"
,0,586,40,"47,905.611517767815000"
,0,587,40,"47,905.611517767815000"
,0,588,40,"47,905.611517767815000"
,0,589,40,"47,905.611517767815000"
,0,590,40,"47,905.611517767815000"
,0,591,40,"47,905.611517767815000"
,0,592,43,"43,114.930196718327000"
,0,593,43,"43,114.930196718327000"
,0,594,43,"43,114.930196718327000"
,0,595,43,"43,114.930196718327000"
,0,596,43,"43,114.930196718327000"
,0,597,43,"43,114.930196718327000"
,0,598,43,"43,114.930196718327000"
,0,599,43,"43,114.930196718327000"
,0,600,43,"43,114.930196718327000"
,0,601,43,"43,114.930196718327000"
,0,602,43,"43,114.930196718327000"
,0,603,43,"43,114.930196718327000"
,0,604,43,"43,114.930196718327000"
,0,605,43,"43,114.930196718327000"
,0,606,43,"43,114.930196718327000"
,0,607,43,"43,114.930196718327000"
,0,608,43,"43,114.930196718327000"
,0,609,43,"43,114.930196718327000"
,0,610,43,"43,114.930196718327000"
,0,611,43,"43,114.930196718327000"
,0,612,43,"43,114.930196718327000"
,0,613,43,"43,114.930196718327000"
,0,614,43,"43,114.930196718327000"
,0,615,43,"43,114.930196718327000"
,0,616,40,"45,126.686449114764000"
,0,617,40,"45,126.686449114764000"
,0,618,40,"45,126.686449114764000"
,0,619,40,"45,126.686449114764000"
,0,620,40,"45,126.686449114764000"
,0,621,40,"45,126.686449114764000"
,0,622,40,"45,126.686449114764000"
,0,623,40,"45,126.686449114764000"
,0,624,40,"45,126.686449114764000"
,0,625,40,"45,126.686449114764000"
,0,626,40,"45,126.686449114764000"
,0,627,40,"45,126.686449114764000"
,0,628,40,"45,126.686449114764000"
,0,629,40,"45,126.686449114764000"
,0,630,40,"45,126.686449114764000"
,0,631,40,"45,126.686449114764000"
,0,632,40,"45,126.686449114764000"
,0,633,40,"45,126.686449114764000"
,0,634,40,"45,126.686449114764000"
,0,635,40,"45,126.686449114764000"
,0,636,40,"45,126.686449114764000"
,0,637,40,"45,126.686449114764000"
,0,638,40,"45,126.686449114764000"
,0,639,40,"45,126.686449114764000"
,0,640,40,"16,568.585591547675000"
,0,641,40,"16,568.585591547675000"
,0,642,40,"16,568.585591547675000"
,0,643,40,"16,568.585591547675000"
,0,644,40,"16,568.585591547675000"
,0,645,40,"16,568.585591547675000"
,0,646,40,"16,568.585591547675000"
,0,647,40,"16,568.585591547675000"
,0,648,40,"16,568.585591547675000"
,0,649,40,"16,568.585591547675000"
,0,650,40,"16,568.585591547675000"
,0,651,40,"16,568.585591547675000"
,0,652,40,"16,568.585591547675000"
,0,653,40,"16,568.585591547675000"
,0,654,40,"16,568.585591547675000"
,0,655,40,"16,568.585591547675000"
,0,656,40,"16,568.585591547675000"
,0,657,40,"16,568.585591547675000"
,0,658,40,"16,568.585591547675000"
,0,659,40,"16,568.585591547675000"
,0,660,40,"16,568.585591547675000"
,0,661,40,"16,568.585591547675000"
,0,662,40,"16,568.585591547675000"
,0,663,40,"16,568.585591547675000"
,0,664,40,0.000000000000000
,0,665,40,0.000000000000000
,0,666,40,0.000000000000000
,0,667,40,0.000000000000000
,0,668,40,0.000000000000000
,0,669,40,0.000000000000000
,0,670,40,0.000000000000000
,0,671,40,0.000000000000000
,0,672,40,0.000000000000000
,0,673,40,0.000000000000000
,0,674,40,0.000000000000000
,0,675,40,0.000000000000000
,0,676,40,0.000000000000000
,0,677,40,0.000000000000000
,0,678,40,0.000000000000000
,0,679,40,0.000000000000000
,0,680,40,0.000000000000000
,0,681,40,0.000000000000000
,0,682,40,0.000000000000000
,0,683,40,0.000000000000000
,0,684,40,0.000000000000000
,0,685,40,0.000000000000000
,0,686,40,0.000000000000000
,0,687,43,0.000000000000000
,0,688,43,0.000000000000000
,0,689,43,0.000000000000000
,0,690,43,0.000000000000000
,0,691,43,0.000000000000000
,0,692,43,0.000000000000000
,0,693,43,0.000000000000000
,0,694,43,0.000000000000000
,0,695,43,0.000000000000000
,0,696,43,0.000000000000000
,0,697,43,0.000000000000000
,0,698,43,0.000000000000000
,0,699,43,0.000000000000000
,0,700,43,0.000000000000000
,0,701,43,0.000000000000000
,0,702,43,0.000000000000000
,0,703,43,0.000000000000000
,0,704,43,0.000000000000000
,0,705,43,0.000000000000000
,0,706,43,0.000000000000000
,0,707,43,0.000000000000000
,0,708,43,0.000000000000000
,0,709,43,0.000000000000000
,0,710,42,0.000000000000000
,0,711,42,0.000000000000000
,0,712,42,0.000000000000000
,0,713,42,0.000000000000000
,0,714,42,0.000000000000000
,0,715,42,0.000000000000000
