"","indivID2012","ageY","ageM","sex","relHH","relig","married","regionBorn","bioDadinHH","bioDadEduc","bioDadJob","bioMominHH","bioMomEduc","bioMomJob"
"583","0102060130108104",17,NA,1,3,4,1,1,1,96,3,1,98,3
"584","0102060130108105",14,NA,1,3,4,1,1,1,96,3,1,98,3
"585","0102060130108106",11,NA,2,3,4,1,1,1,96,3,1,98,3
"586","0102060130108107",9,NA,2,3,NA,NA,1,1,96,3,1,98,3
"587","0102060130108108",6,NA,2,3,NA,NA,1,1,96,3,1,98,3
"588","0102060130108109",NA,13,2,3,NA,NA,1,1,96,3,1,98,3
"589","0102060130109701",77,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"590","0102060130109702",60,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"591","0102060130111201",54,NA,2,1,4,6,1,NA,NA,NA,NA,NA,NA
"592","0102060130113401",35,NA,2,1,1,5,1,NA,NA,NA,NA,NA,NA
"593","0102060130113601",29,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"594","0102060130113602",22,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"595","0102060130113603",NA,53,2,3,NA,NA,1,1,27,9,1,21,14
"596","0102060130113604",NA,18,2,3,NA,NA,1,1,27,9,1,21,14
"597","0102060130116201",42,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"598","0102060130116202",37,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"599","0102060130116203",83,NA,1,5,1,2,1,NA,NA,NA,NA,NA,NA
"600","0102060130116204",70,NA,2,5,1,2,1,NA,NA,NA,NA,NA,NA
"601","0102060130116205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"602","0102060130116206",13,NA,1,3,1,1,1,1,96,1,1,98,1
"603","0102060130116207",7,NA,1,3,NA,NA,1,1,96,1,1,98,1
"604","0102060130116208",NA,51,1,3,NA,NA,1,1,96,1,1,98,1
"605","0102060130116209",NA,14,2,3,NA,NA,1,1,96,1,1,98,1
"606","0102060130118001",20,NA,2,1,1,2,1,NA,NA,NA,NA,NA,NA
"607","0102060130118002",28,NA,1,2,1,2,1,NA,NA,NA,NA,NA,NA
"608","0102060130118003",NA,21,2,3,NA,NA,1,1,2,14,1,8,8
"609","0102070010102701",37,NA,2,1,1,2,1,NA,NA,NA,NA,NA,NA
"610","0102070010102702",13,NA,1,3,1,1,1,2,98,1,1,98,1
"611","0102070010102703",10,NA,2,3,1,1,1,2,98,1,1,98,1
"612","0102070010102704",9,NA,1,3,NA,NA,1,2,98,1,1,98,1
"613","0102070010102705",6,NA,2,3,NA,NA,1,2,98,1,1,98,1
"614","0102070010102706",NA,51,2,3,NA,NA,1,2,98,1,1,98,1
"615","0102070010105701",30,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"616","0102070010105702",29,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"617","0102070010105703",NA,23,1,3,NA,NA,1,1,31,11,1,98,14
"618","0102070010108701",34,NA,1,1,4,2,1,NA,NA,NA,NA,NA,NA
"619","0102070010108702",24,NA,2,2,4,2,1,NA,NA,NA,NA,NA,NA
"620","0102070010108703",5,NA,1,3,NA,NA,1,1,98,8,1,98,8
"621","0102070010108704",NA,22,2,3,NA,NA,1,1,98,8,1,98,8
"622","0102070010108705",26,NA,1,6,4,1,1,NA,NA,NA,NA,NA,NA
"623","0102070010111701",37,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"624","0102070010111702",30,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"625","0102070010111703",7,NA,1,3,NA,NA,1,1,8,13,1,5,8
